title	author	publisher	pub_date	sudoc	digagent	contributor	catalog_uri	availability
Atlas of the World Battle Fronts in Semimonthly Phases	United States. War Dept. General Staff. Marshall, George C. (George Catlett), 1880-1959.	United States News Pub. Corp.,	1945	W 2.1:943-45/supp	google	UIUC	https://catalog.hathitrust.org/Record/102565449	Limited View
Progress report on gamma-ray logging activities	Comstock, Sherman S. U.S. Atomic Energy Commission.	Technical Information Service ; Available from the Office of Technical Service, Dept. of Commerce,	1951	Y 3.At 7:22/RMO-904	google	UIUC	https://catalog.hathitrust.org/Record/102566737	Full View
Geological investigation of the Trachyte District, Henry Mountains, Utah	Brooke, Gerald L. Shirley, Raymond F.	Technical Information Service ; Available from the Office of Technical Services, Dept. of Commerce,	1951	Y 3.AT 7:22/RMO-912	google	UIUC	https://catalog.hathitrust.org/Record/102566738	Full View
Carnotite deposits near Edgemont, South Dakota	Baker, K. E. U.S. Atomic Energy Commission. Division of Raw Materials.	U.S. Atomic Energy Commission, Division of Raw Materials,	1952	Y 3.At 7:22/RMO-881	google	UIUC	https://catalog.hathitrust.org/Record/102566739	Limited View
Geology and ore deposits of Mesa V, Lukachukai district, Arizona	King, J. W. (John W.) U.S. Atomic Energy Commission. Division of Raw Materials.	United States Atomic Energy Commission, Technical Information Service,	1951		google	UIUC	https://catalog.hathitrust.org/Record/102566740	Full View
Geology of uranium deposits--a condensed version	Everhart, Donald L. (Donald Lough), 1917- Mathez, Muriel. U.S. Atomic Energy Commission. Technical Information Service. U.S. Atomic Energy Commission. Division of Raw Materials. Exploration Branch.	U.S. Atomic Energy Commission, Technical Information Service,	1951	Y 3.At 7:22/RMO-732	google	UIUC	https://catalog.hathitrust.org/Record/102566741	Full View
Tributary-stream infiltration in Marsh Creek Valley, north-central Pennsylvania	Williams, John H. (John Herbert), 1954- Geological Survey (U.S.)	U.S. Geological Survey ; Books and Open-File Reports [distributor],	1991	I 19.42/4:90-4052	google	UIUC	https://catalog.hathitrust.org/Record/102567137	Full View
Geophysically estimated porosity of selected Paleozoic rocks in the Upper Colorado River Basin, Colorado, Utah, Wyoming, and Arizona	Wetherbee, Gregory A. Van Liew, William P. Geological Survey (U.S.)	U.S. Dept. of the Interior, U.S. Geological Survey : Books and Open-File Reports Section [distributor],	1991	I 19.42/4:90-4049	google	UIUC	https://catalog.hathitrust.org/Record/102567138	Full View
Water resources and effects of potential surface coal mining on dissolved solids in Hanging Woman Creek Basin, southeastern Montana	Cannon, M. R. Geological Survey (U.S.) United States. Bureau of Land Management.	Dept. of the Interior, U.S. Geological Survey ; U.S. Geological Survey, Books and Open-File Reports Section [distributor],	1989	I 19.42/4:89-4047, I 19.42/2:89-4047	google	UIUC	https://catalog.hathitrust.org/Record/102567139	Full View
Geology and ground-water resources of the Memphis Sand in western Tennessee	Parks, William Scott. Carmichael, J. K. Geological Survey (U.S.)	Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports Section [distributor],	1990	I 19.42/4:88-4182	google	UIUC	https://catalog.hathitrust.org/Record/102567140	Full View
Ground-water inflow to the Deschutes River near the Warm Springs Indian Reservation, Oregon, August 1985	Bolke, E. L. Laenen, Antonius. Geological Survey (U.S.) Confederated Tribes of the Warm Springs Reservation of Oregon.	Dept. of the Interior, U.S. Geological Survey ; U.S. Geological Survey, Books and Open-File Reports Section [distributor],	1989	I 19.42/4:88-4184	google	UIUC	https://catalog.hathitrust.org/Record/102567141	Full View
Geology, hydrogeology, and potential of intrinsic bioremediation at the National Park Service dockside II site and adjacent areas, Charleston, South Carolina, 1993-94 ; prepared in cooperation with the National Park Service	Campbell, Bruce G. Geological Survey (U.S.) United States. National Park Service.	U.S. Dept. of the Interior, U.S. Geological Survey ; U.S. Geological Survey, Branch of Information Services [distributor],	1996	I 19.42/4:96-4170	google	UCR	https://catalog.hathitrust.org/Record/102567144	Full View
Geochemical and isotopic composition of ground water, with emphasis on sources of sulfate, in the upper Floridan Aquifer and intermediate aquifer system in southwest Florida	Sacks, Laura A. Tihansky, A. B. (Ann B.) Geological Survey (U.S.) Southwest Florida Water Management District (Fla.)	U.S. Dept. of the Interior, U.S. Geological Survey ; Branch of Information Center [distributor],	1996	I 19.42/4:96-4146	google	UCR	https://catalog.hathitrust.org/Record/102567145	Full View
Ground-water flow and the potential effects of remediation at Graces Quarters, Aberdeen Proving Ground, Maryland	Tenbus, Frederick J. Fleck, William B. Geological Survey (U.S.) Aberdeen Proving Ground (Md.). Environmental Conservation and Restoration Division.	U.S. Dept. of the Interior, U.S. Geological Survey ; Earth Science Information Center, Open-File Reports Section [distributor],	1996	I 19.42/4:96-4044	google	UCR	https://catalog.hathitrust.org/Record/102567146	Full View
Flow and hydraulic characteristics of the Knik-Matanuska River estuary, Cook Inlet, southcentral Alaska	Lipscomb, Stephen W. Geological Survey (U.S.) Alaska. Department of Transportation and Public Facilities.	Dept. of the Interior, U.S. Geological Survey ; U.S. Geological Survey, Books and Open-File Reports Section [distributor],	1989	I 19.42/4:89-4064	google	UCR	https://catalog.hathitrust.org/Record/102567151	Full View
Geohydrology of, and nitrogen and chloride in, the glacial aquifer, Milford-Matamoras area, Pike County, Pennsylvania	Senior, Lisa A. Geological Survey (U.S.) Pike County Planning Commission (Pa.)	U.S. Dept. of the Interior, U.S. Geological Survey ; Earth Science Information Center, Open-File Reports Section [distributor],	1994	I 19.42/4:93-4109	google	UIUC	https://catalog.hathitrust.org/Record/102567152	Full View
Differences in results of analyses of concurrent and split stream-water samples collected and analyzed by the U.S. Geological Survey and the Illinois Environmental Protection Agency, 1985-91	Melching, Charles S. Coupe, Richard H. (Richard Henry), 1954- Geological Survey (U.S.) Illinois. Environmental Protection Agency.	U.S. Geolgocial Survey,	1995		google	UIUC	https://catalog.hathitrust.org/Record/102567156	Limited View
Ground-water resources of Honey Lake Valley, Lassen County, California, and Washoe County, Nevada	Handman, Elinor H., Maurer, Douglas K., author. Londquist, Clark J., author. Geological Survey (U.S.) California. Department of Water Resources. Nevada. Division of Water Resources.	Dept. of the Interior, U.S. Geological Survey ; Books and Open-File Reports Section [distributor],	1990	I 19.42/4:90-4050	google	UIUC	https://catalog.hathitrust.org/Record/102567162	Full View
Mineral investigation of the Golden Valley wilderness study area (BLM no. CDCA-170), San Bernardino County, California	Gaps, Richard S. Geological Survey (U.S.) United States. Bureau of Mines. Western Field Operations Center. United States. Bureau of Mines. United States. Bureau of Land Management.	U.S. Dept. of the Interior, Bureau of Mines,	1985		google	UCR	https://catalog.hathitrust.org/Record/102573879	Full View
The Carnivora of the Edson local fauna (late Hemphillian), Kansas	Harrison, Jessica A.	Smithsonian Institution Press,	1983	SI 1.30:54	google	UIUC	https://catalog.hathitrust.org/Record/102567178	Limited View
U.S. Foreign Aid in the Near East and South Asia	United States. Agency for International Development.	Agency for International Development,	1969		google	NRLF	https://catalog.hathitrust.org/Record/102572319	Limited View
Report of Apollo 13 Review Board	United States. National Aeronautics and Space Administration. Apollo 13 Review Board. United States. National Aeronautics and Space Administration.	National Aeronautics and Space Administration,	1970		google	UCR	https://catalog.hathitrust.org/Record/102573873	Limited View
Deep geothermal test well, geothermal resource investigations, Imperial Valley, California	United States. Bureau of Reclamation. Region 3.	U.S. Bureau of Reclamation, Region 3,	1972		google	UCR	https://catalog.hathitrust.org/Record/102573949	Full View
First progress report on the cooperative investigation of interchange of surface and ground water in alluvial channels of Southern California	Peterson, William C. Geological Survey (U.S.)	U.S. Dept. of the Interior, Geological Survey,	1961		google	UCR	https://catalog.hathitrust.org/Record/102573956	Full View
Southwest energy study	United States. Department of the Interior. Southwest Energy Study Management Team.	Southwest Energy Study, U.S. Dept. of Interior,	1972		google	UCR	https://catalog.hathitrust.org/Record/102573966	Full View
A description of Imperial Valley, California, for the assessment of impacts of geothermal energy development	Layton, David W., 1948- Ermak, Donald. Lawrence Livermore Laboratory.	Lawrence Livermore Laboratory ;	1976		google	UCR	https://catalog.hathitrust.org/Record/102573970	Full View
Stage 2 environmental impact report	Jones & Stokes Associates. United States. Bureau of Reclamation. Mid-Pacific Regional Office. United States. Army. Corps of Engineers. Contra Costa Water District (Calif.)	The District ; The Bureau,	1993		google	UCR	https://catalog.hathitrust.org/Record/102573395	Full View
Port of Los Angeles channel deepening project	Port of Los Angeles. United States. Army. Corps of Engineers. Los Angeles District.	U.S. Army Corps of Engineers,	2000		google	UCR	https://catalog.hathitrust.org/Record/102573511	Full View
Seismic retrofit measures for highway bridges	Zhu, Guanghan, 1919- Albert, D. S. (David S.) Longinow, A. Robinson, R. R. United States. Federal Highway Administration. Implementation Division. IIT Research Institute. Engineering Research Division.	U.S. Dept. of Transportation, Federal Highway Administration, Office of Research and Development, Implementation Division,	1979		google	UCSD	https://catalog.hathitrust.org/Record/3290127	Full View
OSHA handbook for small businesses	United States. Occupational Safety and Health Administration.	Virginia Occupational Safety and Health Administration,	1990		google	MIU	https://catalog.hathitrust.org/Record/8725085	Full View
Proceedings of the Workshop on Microcomputers in Transit: Issues and Directions	Workshop on Microcomputers in Transit: Issues and Directions (1984 : Airlie House, Va.) National Research Council (U.S.). Transportation Research Board. United States. Urban Mass Transportation Administration.	Urban Mass Transportation Administration, U.S. Dept. of Transportation,	1985		google	UCBK	https://catalog.hathitrust.org/Record/10611376	Limited View
Birth control guide	United States. Food and Drug Administration. Office of Women's Health.	FDA Office of Women's Health,	2011	HE 20.4053/2:B 53	google	UCBK	https://catalog.hathitrust.org/Record/11265525	Full View
An Institutional assessment of the implementation and enforcement of the Clean Air Act	Urban Systems Research & Engineering. United States. National Commission on Air Quality.	Urban Systems Engineering & Research,	1980		google	UCBK	https://catalog.hathitrust.org/Record/102569061	Limited View
An Institutional assessment of the implementation and enforcement of the Clean Air Act	Urban Systems Research & Engineering. United States. National Commission on Air Quality.	Urban Systems Research & Engineering,	1980		google	UCBK	https://catalog.hathitrust.org/Record/102569065	Limited View
An Institutional assessment of the implementation and enforcement of the Clean Air Act	Urban Systems Research & Engineering. United States. National Commission on Air Quality.	Urban Systems Engineering & Research,	1980		google	UCBK	https://catalog.hathitrust.org/Record/102569067	Limited View
Consultant report to the Committee on Motor Vehicle Emissions, Commission on Sociotechnical Systems, National Research Council, on an evaluation of catalytic converters for control of automobile exhaust pollutants	Hightower, Joe W. National Research Council (U.S.). Committee on Motor Vehicle Emissions.	U.S. Environmental Protection Agency, Office of Air and Waste Management, Office of Mobile Source Air Pollution Control,	1974	EP 1.2:Em 4/1 B	google	UCBK	https://catalog.hathitrust.org/Record/102569088	Limited View
Compilation of air pollutant emission factors	United States. Environmental Protection Agency. Office of Air Programs. Duprey, R. L.	For sale by the Supt. of Docs., U.S. Govt. Print. Off., Washington,	1972		google	UCBK	https://catalog.hathitrust.org/Record/102569185	Limited View
Hydraulic design of improved inlets for culverts using programable calculators	Wlaschin, Patrick. United States. Federal Highway Administration.	Federal Highway Administration,	1981		google	UCBK	https://catalog.hathitrust.org/Record/102569241	Full View
Highway maintenance impacts to water quality	Kramme, A. D. Dalton-Dalton-Newport, Inc. United States. Federal Highway Administration. Office of Engineering & Highway Operations Research and Development.	Federal Highway Administration, Office of Engineering & Highway Operations Research and Development,	1985	TD 2.30:85/060, TD 2.30:85/059, TD 2.30:85/058, TD 2.30:85/057	google	UCBK	https://catalog.hathitrust.org/Record/102569252	Full View
Geocomposite drains	Kraemer, S. R. Smith, A. D. Haley & Aldrich. United States. Federal Highway Administration. Office of Engineering and Highway Operations Research and Development.	Federal Highway Administration ; Available from the National Technical Information Service,	1986	TD 2.30:86-171	google	UCBK	https://catalog.hathitrust.org/Record/102569256	Full View
Corrosion susceptibility of internally reinforced soil retaining structures	Frondistou-Yannas, S. Construction Technology Laboratories (Portland Cement Association) Management and Technology Associates, Inc. United States. Federal Highway Administration. Office of Research, Development, and Technology.	Federal Highway Administration, Research, Development, and Technology ; National Technical Information Service,	1985	TD 2.30:83-105	google	UCBK	https://catalog.hathitrust.org/Record/102569398	Full View
The Performance of pile driving systems	Rausche, Frank. Goble Rausche Likins and Associates, Inc. United States. Federal Highway Administration. Offices of Research and Development.	Federal Highway Administration : Available from the National Technical Information Service,	1986	TD 2.30:86-160	google	UCBK	https://catalog.hathitrust.org/Record/102569415	Full View
Control criteria and materials performance studies for cathodic protection of reinforced concrete	Bartholomew, John (John J.) Strategic Highway Research Program (U.S.)	Strategic Highway Research Program, National Research Council, National Research Council,	1993		google	UCBK	https://catalog.hathitrust.org/Record/102569440	Limited View
Quality control of concrete on-site	Whiting, David. Strategic Highway Research Program (U.S.)	Strategic Highway Research Program, National Research Council,	1994		google	UCBK	https://catalog.hathitrust.org/Record/102569478	Limited View
Concrete microstructure	Roy, D. M. Idorn, G. M. Pennsylvania State University. Materials Research Laboratory. Strategic Highway Research Program (U.S.)	Strategic Highway Research Program, National Research Council,	1993		google	UCBK	https://catalog.hathitrust.org/Record/102569479	Limited View
Technology Transfer Program for Local Transportation Agencies	Hathaway, Cecil W. National Highway Institute (U.S.)	U.S. Dept. of Transportation, Federal Highway Administration, National Highway Institute,	1985		google	UCBK	https://catalog.hathitrust.org/Record/102569560	Full View
Proceedings of Transpac '84, the Second International Symposium on Advanced Propulsion and Control for Urban Transit, March 4-7, 1984	International Symposium on Advanced Propulsion and Control for Urban Transit (2nd : 1984 : Baltimore, Md.) United States. Urban Mass Transportation Administration. Office of Technical Assistance.	Urban Mass Transportation Administration,	1984		google	UCBK	https://catalog.hathitrust.org/Record/102569602	Limited View
Morgantown personal rapid transit system computer upgrade study	Alberts, Richard E. Boeing Defense and Space Group. West Virginia University Research Board. United States. Federal Transit Administration.	Federal Transit Administration, Office of Research, Demonstration and Innovation,	1996		google	UCBK	https://catalog.hathitrust.org/Record/102569607	Full View
Operational concepts and implementation techniques for vehicle-follower control of AGT systems	Pue, A. J. Brown, S. J. joint author. Chiu, H. Y. joint author. United States. Urban Mass Transportation Administration. Johns Hopkins University. Applied Physics Laboratory.	Urban Mass Transportation Administration, Office of Technology Development ; National Technical Information Service,	1979		google	UCBK	https://catalog.hathitrust.org/Record/102569609	Full View
Final environmental impact statement and wetland finding	Puerto Rico. Department of Transportation and Public Works. United States. Urban Mass Transportation Administration.	Urban Mass Transportation Administration,	1983		google	UCBK	https://catalog.hathitrust.org/Record/102569620	Full View
Office of Child Development	United States. Office of Child Development.	U. S. Dept. of Health, Education, and Welfare, Office of Human Development, Office of Child Development ;	1975	HE1.402:C43/3	google	UCBK	https://catalog.hathitrust.org/Record/102569692	Limited View
Proceedings	National Workshop on Improved Vocational Opportunities for the Deaf (1964 : University of Tennessee) Ott, Joseph T. United States. Department of Health, Education, and Welfare. Vocational Rehabilitation Administration. University of Tennessee (Knoxville campus)	U. S. Dept. of Health, Education, and Welfare; Vocational Rehabilitation Administration,	1965		google	UCBK	https://catalog.hathitrust.org/Record/102569718	Limited View
Response to the recommendations of the President's Panel on Mental Retardation	United States. Department of Health, Education, and Welfare. Secretary's Committee on Mental Retardation. United States. President's Panel on Mental Retardation.		1964		google	UCBK	https://catalog.hathitrust.org/Record/102569719	Limited View
Homelessness	United States. General Accounting Office.	The Office,	1999	GA 1.13:RCED-99-178	google	UCBK	https://catalog.hathitrust.org/Record/102569730	Full View
Sex discrimination	United States. General Accounting Office. United States. Congress. House. Committee on Post Office and Civil Service. Subcommittee on Oversight and Investigations.	The Office ; The Office [distributor,	1994	GA 1.13:OSI-94-10	google	UCBK	https://catalog.hathitrust.org/Record/102569744	Limited View
Examination of financial statements of the Federal Home Loan Mortgage Corporation for the year ended December 31, 1973	United States. General Accounting Office.	U.S. General Accounting Office,	1974		google	UCBK	https://catalog.hathitrust.org/Record/102569826	Limited View
Measuring state fiscal capacity	United States. Advisory Commission on Intergovernmental Relations.	Advisory Commission on Intergovernmental Relations,	1987	Y 3.Ad 9/8:19/987	google	UIUC	https://catalog.hathitrust.org/Record/102569855	Full View
Realty tax delinquency	United States. Bureau of the Census.	Govt. print. off.,	1934		google	UCBK	https://catalog.hathitrust.org/Record/102569862	Limited View
United States and Israeli homeland security	Pockett, Consuella B. Air University (U.S.). Air War College. USAF Counterproliferation Center.	USAF Counterproliferation Center, Air Univesity,	2005		google	UCBK	https://catalog.hathitrust.org/Record/102570279	Limited View
The story of the Federal Bureau of Investigation	United States. Federal Bureau of Investigation.	U.S. Govt. Print. Off.,	1973		google	UCBK	https://catalog.hathitrust.org/Record/102570360	Limited View
Amending the Small business act	United States. Congress. Senate. Select Committee on Small Business.	U.S. Govt. Print. Off.,	1978	95-2:S.rp.827	google	UCR	https://catalog.hathitrust.org/Record/102573119	Full View
Federal Trade Commission regional office operations	United States. Congress. House. Committee on Government Operations.	U.S. Govt. Print. Off.,	1977	95-1:H.rp.575	google	UCR	https://catalog.hathitrust.org/Record/102573130	Limited View
Narcotic drugs	United States. United States. Department of State.	Dept. of State : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1978	S 9.10:8952	google	UCR	https://catalog.hathitrust.org/Record/102573166	Full View
Status of administration action on International Women's Year resolutions	United States. President (1977-1981 : Carter)	U.S. Govt. Print. Off.,	1978	95-2:H.doc.387	google	UCR	https://catalog.hathitrust.org/Record/102573170	Limited View
White Slough section 205 flood control study	Vallejo Sanitation and Flood Control District (Calif.) United States. Army. Corps of Engineers. San Francisco District.	U.S. Army Corps of Engineers, San Francisco District,	2001		google	UCR	https://catalog.hathitrust.org/Record/102573310	Limited View
Draft North Sonoma County Agricultural Reuse Project environmental impact report/environmental impact statement	United States. Bureau of Reclamation. Sonoma County Water Agency.	Sonoma County Water Agency,	2007		google	UCR	https://catalog.hathitrust.org/Record/102573315	Limited View
Proposed schedule of releases from Cachuma Dam for downstream requirements	United States. Bureau of Reclamation. Region 2.	Bureau of Reclamation, Region 2,	1970		google	UCR	https://catalog.hathitrust.org/Record/102573320	Full View
Final reconnaissance report	United States. Army. Corps of Engineers. San Francisco District.	U.S. Army Corps of Engineers,	1989		google	UCR	https://catalog.hathitrust.org/Record/102573322	Full View
Maintenance dredging, Redwood City Harbor, San Mateo County, California	United States. Army. Corps of Engineers. San Francisco District.	Corps of Engineers,	1972		google	UCR	https://catalog.hathitrust.org/Record/102573347	Full View
Upper Klamath River recreation study	Bridwell, Katherine. Western Interstate Commission for Higher Education. Resources Development Internship Program. Western Interstate Commission for Higher Education. United States. Bureau of Land Management. Redding District.	Resources Development Internship Program, Western Interstate Commission for Higher Education,	1976		google	UCR	https://catalog.hathitrust.org/Record/102573351	Full View
Report of tests for pollutants in core and water samples : Redwood City Harbor, San Bruno Channel, Islais Creek	United States. Army. Corps of Engineers.	The Corps,	1971		google	UCR	https://catalog.hathitrust.org/Record/102573356	Full View
Initial alternatives information report	United States. Bureau of Reclamation. Mid-Pacific Regional Office.	U.S, Bureau of Reclamation, Mid-Pacific Region,	2004		google	UCR	https://catalog.hathitrust.org/Record/102573365	Full View
Proposed Oak Shores Recreation Development, Lake Berryessa, Solano project	United States. Bureau of Reclamation. Mid-Pacific Regional Office.	U.S. Dept. of the Interior, Bureau of Reclamation, Mid-Pacific Region,	1977		google	UCR	https://catalog.hathitrust.org/Record/102573369	Full View
Shasta outflow temperature control, Shasta County, California	United States. Bureau of Reclamation. Mid-Pacific Regional Office. United States. Western Area Power Administration. U.S. Fish and Wildlife Service. United States. National Marine Fisheries Service.	The Region,	1991		google	UCR	https://catalog.hathitrust.org/Record/102573372	Full View
Future recreation use and operations of Lake Berryessa	United States. Bureau of Reclamation. Mid-Pacific Regional Office.	U.S. Dept. of the Interior, Bureau of Reclamation, Mid-Pacific Region,	2005		google	UCR	https://catalog.hathitrust.org/Record/102573396	Full View
The Cachuma Project	Latousek, Thomas A. United States. Bureau of Reclamation. History Program.	Bureau of Reclamation History Program,	1995		google	UCR	https://catalog.hathitrust.org/Record/102573404	Full View
Bel Marin Keys Unit 5	Marin County (Calif.). Planning Department. United States. Army. Corps of Engineers. San Francisco District.	Torrey & Torrey, Inc.,	1982		google	UCR	https://catalog.hathitrust.org/Record/102573405	Full View
Bolinas Lagoon Ecosystem Restoration Project	Marin County (Calif.). Open Space District. United States. Army. Corps of Engineers. San Francisco District. Tetra Tech, Inc.	U.S. Army Corps of Engineers, San Francisco District,	2002		google	UCR	https://catalog.hathitrust.org/Record/102573406	Full View
Conceptual design study	California. Department of Water Resources. United States. Office of Saline Water.		1972		google	UCR	https://catalog.hathitrust.org/Record/102573412	Limited View
Hydrology documentation for the north central flood control zone	Saah, Abdullah D. Santa Clara Valley Water District (Calif.)	Santa Clara Valley Water District,	1978		google	UCR	https://catalog.hathitrust.org/Record/102573413	Full View
Gas House Cove (East Harbor Facility)	United States. Army. Corps of Engineers. San Francisco District.	The District,	1973		google	UCR	https://catalog.hathitrust.org/Record/102573424	Full View
Proposed Klamath Straits Drain enlangement, Klamath Project, Oregon - California	United States. Bureau of Reclamation. Mid-Pacific Regional Office.	The Office],	1974		google	UCR	https://catalog.hathitrust.org/Record/102573463	Full View
Extension of entrance to Islais Creek channel, San Francisco Harbor, California	United States. Army. Corps of Engineers. San Francisco District.	Corps of Engineers, San Francisco District,	1975		google	UCR	https://catalog.hathitrust.org/Record/102573490	Full View
Action plan IV	Monterey Bay National Marine Sanctuary (Agency : U.S.). Water Quality Protection Program.	Water Quality Protection Program for Monterey Bay National Marine Sanctuary,	1999	C 55.402:W 29/Plan 4	google	UCR	https://catalog.hathitrust.org/Record/102573494	Limited View
The social environment of Noyo Harbor and the probable impacts of proposed harbor development alternatives	Gross, Robert L. Lerner, Richard N. United States. Army. Corps of Engineers. San Francisco District.	U.S. Army Corps of Engineers, San Francisco District,	1983		google	UCR	https://catalog.hathitrust.org/Record/102573498	Full View
Survey report on San Francisquito Creek, San Mateo and Santa Clara Counties, California, for flood control and allied purposes	United States. Army. Corps of Engineers.	U.S. Army Engineer District, San Francisco, Corps of Engineers,	1972		google	UCR	https://catalog.hathitrust.org/Record/102573503	Full View
Proposed Klamath Straits Drain enlargement, Klamath Project, Oregon - California	United States. Bureau of Reclamation. Mid-Pacific Regional Office.	The Office],	1975		google	UCR	https://catalog.hathitrust.org/Record/102573508	Full View
