Compilation of narcotics laws, treaties, and executive documents	United States. Library of Congress. Congressional Research Service. United States. Congress. House. Committee on Foreign Affairs.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office,	1986	Y 4.F 76/1:N 16/11	google	PST	https://catalog.hathitrust.org/Record/7056224	Limited View
St.Mary's airport runway extension and improvements	United States. Federal Aviation Administration.		1972	FAA-AK-722061	google	NWU	https://catalog.hathitrust.org/Record/100919503	Full View
Central Oregon irrigation district reclamation loan, proposed	United States. Department of the Interior.		1971	DOI-OR-710070	google	NWU	https://catalog.hathitrust.org/Record/100972274	Full View
Safe Drinking Water Act of 1973	United States. Environmental Protection Agency.		1973	EPA-730824	google	NWU	https://catalog.hathitrust.org/Record/100974921	Full View
Huron River water quality management	United States. Environmental Protection Agency.		1973	EPA-MI-730357	google	NWU	https://catalog.hathitrust.org/Record/100975536	Full View
Eugene District planning area, summary of land use alternatives	United States. Bureau of Land Management		1981	BLM-OR-819965	google	NWU	https://catalog.hathitrust.org/Record/100973073	Full View
Federal prison camp, City of Scranton, Lackawanna County	United States. Bureau of Prisons.		1995	BP-PA-950231	google	NWU	https://catalog.hathitrust.org/Record/100978926	Full View
Shoshone-Eureka Resource Area, range improvement project: New Pass / Alpine Fence Environmental assessment (EA).	United States. Bureau of Land Management		1988	BLM-NV-889997	google	NWU	https://catalog.hathitrust.org/Record/100973691	Full View
American River water resources investigation, Placer County, Sutter County, El Dorado County, San Joaquin County	United States. Bureau of Reclamation.		1996	BR-CA-960054	google	NWU	https://catalog.hathitrust.org/Record/100973475	Full View
BLM Vernal District, animal damage control draft environmental assessment (EA).	United States. Bureau of Land Management		1990	BLM-UT-909996	google	NWU	https://catalog.hathitrust.org/Record/100973719	Full View
Klamath River flood control project	United States. Army. Corps of Engineers.		1973	COE-CA-730494	google	NWU	https://catalog.hathitrust.org/Record/100920348	Full View
Springfield bulk mail center, U.S. Postal Service	United States. Army. Corps of Engineers.		1973	COE-MA-730947	google	NWU	https://catalog.hathitrust.org/Record/100983295	Full View
Cathodic protection for reinforced concrete bridge decks	Vrable, John B. National Cooperative Highway Research Program. National Research Council (U.S.). Transportation Research Board. USS Engineers and Consultants, Inc.	Transportation Research Board, National Research Council,	1977		google	NWU	https://catalog.hathitrust.org/Record/10641789	Full View
Park River conduit system extension, Hartford	United States. Army. Corps of Engineers.		1972	COE-CT-720823	google	NWU	https://catalog.hathitrust.org/Record/100920042	Full View
Lakeview district public land sale, High Desert resource area, land report and decision record (ROD).	United States. Bureau of Land Management		1983	BLM-OR-839945	google	NWU	https://catalog.hathitrust.org/Record/100972314	Full View
Highway metrication	Meacham, Donald G. Ohio State University. Ohio. Dept. of Transportation. United States. Federal Highway Administration.	Federal Highway Administration ; Available through the National Technical Information Service,	1976		google	NWU	https://catalog.hathitrust.org/Record/10652761	Full View
American Lobster Fishery Management Plan, Implementation, To Prevent Overfishing of American Lobster and to Rebuild Lobster Stocks, Exclusive Economic Zone (EEZ) off the New England and Mid-Atlantic Coast	United States. National Oceanic and Atmospheric Administration.		1999	NOAA-990172	google	NWU	https://catalog.hathitrust.org/Record/100983239	Full View
Montrose Settlements Restoration Program	United States. National Oceanic and Atmospheric Administration.		2005	NOAA-CA-050480	google	NWU	https://catalog.hathitrust.org/Record/100983052	Full View
Prado flood control basin, project master plan, San Bernardino and Riverside counties	United States. Army. Corps of Engineers.		2005	COE-CA-050531	google	NWU	https://catalog.hathitrust.org/Record/100976167	Full View
EOG Resources Inc., Chapita Wells-Stagecoach area natural gas development	United States. Bureau of Land Management.		2008	BLM-UT-070549	google	NWU	https://catalog.hathitrust.org/Record/100985285	Full View
Glossary of transportation terms for small systems	Transportation Systems Center. Technology Sharing Program (U.S.)	Transportation Systems Center,	1979		google	NWU	https://catalog.hathitrust.org/Record/10611273	Full View
Tax policy and innovation	Collins, Eileen L. National Science Foundation (U.S.). Division of Policy Research and Analysis. Organisation for Economic Co-operation and Development. Group on Innovation Measures and the Economic Climate.	National Science Foundation,	1982		google	NWU	https://catalog.hathitrust.org/Record/10626442	Full View
White Lake Harbor, maintenance of existing structures, negative declaration and EA.	United States. Army. Corps of Engineers.		1978	COE-MI-789982	google	NWU	https://catalog.hathitrust.org/Record/100972568	Full View
Self-government in Turkey	Turkey. Haberler Bürosu (New York, N.Y.)	Turkish Information Office,	1955		google	INU	https://catalog.hathitrust.org/Record/10572877	Full View
Charles Viner and our common law ...	Hamilton, William A	Govt. print. off.,	1928		google	MIU	https://catalog.hathitrust.org/Record/10414589	Full View
Securities Exchange Act of 1934	Rayburn, Sam, 1882-1961 United States. Congress	U.S. G.P.O.,	1934		google	MIU	https://catalog.hathitrust.org/Record/10487882	Full View
Geodesy	U.S. Coast and Geodetic Survey. Reynolds, Walter F. (Walter Ford), 1880-1942.	Govt. print. off.,	1915		google	OSU	https://catalog.hathitrust.org/Record/102182055	Full View
Art-in-architecture program	United States. General Services Administration.	General Services Administration,	1978	GS 1.2:Ar 7	google	OSU	https://catalog.hathitrust.org/Record/102153040	Full View
LASA	United States. National Aeronautics and Space Administration.	National Aeronautics and Space Administration,	1987		google	OSU	https://catalog.hathitrust.org/Record/102153256	Full View
Maritime subsidies	Hendrickson, Bruce H. United States. Maritime Commission. United States. Maritime Administration. Office of International Activities.	U.S. Dept. of Commerce, Maritime Administration, Office of International Activities,	1981		google	OSU	https://catalog.hathitrust.org/Record/102182372	Full View
Environmental analysis of the Fenton Hill hot dry rock geothermal test site	Kaufman, E. L. Siciliano, C. L. B. United States. Department of Energy. Division of Geothermal Energy. Los Alamos Scientific Laboratory.	U. S. Dept. of Energy, Division of Geothermal Energy ; available from National Technical Information Service,	1979		google	OSU	https://catalog.hathitrust.org/Record/102182138	Full View
American Indian tribes of Montana and Wyoming	United States. Bureau of Indian Affairs. Planning Support Group.	U. S. Dept. of the Interior, Bureau of Indian Affairs, Planning Support Group,	1978		google	OSU	https://catalog.hathitrust.org/Record/102182293	Limited View
Final report	United States. National Advisory Council on Equality of Educational Opportunity.	The Council,	1979		google	OSU	https://catalog.hathitrust.org/Record/102182302	Limited View
Oil shale mining environmental research program overview	Ogasawara, Cynthia. Lewis, Don A. Kuncir, Guy F. Aerospace Corporation. Energy and Resources Division. United States. Bureau of Mines.	National Technical Information Service, U.S. Dept. of Commerce, [1980?]	1979		google	OSU	https://catalog.hathitrust.org/Record/102182329	Full View
Preliminary catalogue of paintings and sculpture	National Gallery of Art (U.S.)		1941		google	OSU	https://catalog.hathitrust.org/Record/102152749	Limited View
Investigation of the feasibility of a short arc reduction of satellite altimetry for determination of the oceanic geoid	Brown, Duane C.	Air Force Cambridge Research Laboratories,	1973		google	OSU	https://catalog.hathitrust.org/Record/102181906	Full View
Angular dependence of surface scattered laser radiation	Grotbeck, Ronald L. Doughty, Glenn, joint author.	Air Force Weapons Laboratory: distributed by the Clearinghouse for Federal Scientific and Technical Information,	1966		google	OSU	https://catalog.hathitrust.org/Record/102181600	Full View
Stock exchange practices	United States. Congress. Senate. Committee on Banking and Currency. Gray, William Alexander, 1875-	U.S. Govt. Print. Off.,	1933	Y4.B22/3:St6/6	google	OSU	https://catalog.hathitrust.org/Record/102182141	Limited View
A Data based gymnasium	Instructional Development Corporation.	Instructional Development Corporation,	1980	ED 1.310/2:207271	google	OSU	https://catalog.hathitrust.org/Record/102182415	Full View
A preliminary national assessment of child abuse and neglect and the juvenile justice system	Smith, Charles P., 1931- Fraser, Warren M. Berkman, David J. National Juvenile Justice System Assessment Center (U.S.) National Institute for Juvenile Justice and Delinquency Prevention.	AJI,	1979		google	OSU	https://catalog.hathitrust.org/Record/102181619	Full View
Geology of the Dubuque North quadrangle, Iowa-Wisconsin-Illinois	Whitlow, Jesse W. Brown, C. Ervin (Clarence Ervin), 1925- Iowa Geological Survey. Wisconsin Geological and Natural History Survey.	U.S. G.P.O.,	1963		google	OSU	https://catalog.hathitrust.org/Record/102153270	Full View
Transportation energy conservation data book	Shonka, D. B. United States. Energy Research and Development Administration. Nonhighway Transport Systems and Special Projects. Data Analysis Branch.	Oak Ridge National Laboratory ; For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1977		google	OSU	https://catalog.hathitrust.org/Record/102182270	Full View
Poverty dimensions of rural-to-urban migration	United States. Department of Agriculture. Economic Research Service. Ritchey, P. Neal. Bacon, A. Lloyd. Bowles, Gladys Kleinwort, 1917- University of Georgia. Institute for Behavioral Research. United States. Office of Economic Opportunity. Office of Planning, Research, and Evaluation.	Economic Research Service, U. S. Dept. of Agriculture in cooperation with Institute for Behavioral Research, University of Georgia and Office of Planning, Research and Evaluation, Office of Economic Opportunity ;	1973		google	OSU	https://catalog.hathitrust.org/Record/102152704	Limited View
Compilation of melting points of the metal oxides	Schneider, Samuel J.	U. S. Dept. of Commerce, National Bureau of Standards; for sale by the Superintendent of Documents, U. S. Govt. Print. Off.,	1963	C 13.44:68	google	OSU	https://catalog.hathitrust.org/Record/102152621	Limited View
Compilation of current high energy physics experiments	Wohl, C. G. Stanford Linear Accelerator Center. Lawrence Berkeley Laboratory. Particle Data Group.	Lawrence Berkeley Laboratory, University of California ; available from National Technical Information Service, U. S. Dept. of Commerce,	1978		google	OSU	https://catalog.hathitrust.org/Record/102181612	Full View
The port of Portland, Oregon	United States. Board of Engineers for Rivers and Harbors. United States. Maritime Commission.	U.S. Govt. Print. Off.,	1940		google	OSU	https://catalog.hathitrust.org/Record/102182105	Full View
Transportation improvements in Madison, Wisconsin	Spielberg, Franklin. Urban Institute. United States. Urban Mass Transportation Administration.	Urban Institute,	1978		google	OSU	https://catalog.hathitrust.org/Record/102182286	Full View
Drilling a directionally deviated well to stimulate gas production from a marginal reservoir in southern West Virginia	Overbey, W. K. (William K.) Ryan, W. M. (William M.) Morgantown Energy Research Center. United States. Energy Research and Development Administration.	Energy Research and Development Administration, Office of Public Affairs, Technical Information Center ; Springfield, Va. : for sale by the National Technical Information Service,	1976	ER 1.11:MERC/TPR-76/3	google	OSU	https://catalog.hathitrust.org/Record/102153234	Full View
User's guide to understanding chart and geodetic accuracies	Greenwalt, Clyde R.	U.S. Air Force, Aeronautical Chart and Information Center, 1971.	1971		google	OSU	https://catalog.hathitrust.org/Record/102181905	Full View
United States atlas of optical telescopes	Meszaros, Stephen Paul.	Goddard Space Flight Center,	1979		google	OSU	https://catalog.hathitrust.org/Record/102182305	Full View
Education in Bolivia	Nelson, Raymond H.	Federal Security Agency, Office of Education; [for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1949		google	OSU	https://catalog.hathitrust.org/Record/102153262	Full View
The Federal Reserve act, approved December 23, 1913, as amended to November 1, 1946, with an appendix containing provisions of certain other acts of Congress which affect the Federal Reserve System	United States. Board of Governors of the Federal Reserve System (U.S.)		1946		google	OSU	https://catalog.hathitrust.org/Record/102152860	Limited View
Neutron kinetics of heavy water moderated reactors	Crudele, Joseph Samuel. Iowa State University.	Ames Laboratory, Iowa State University of Science and Technology,	1968		google	OSU	https://catalog.hathitrust.org/Record/102181800	Full View
Women-owned businesses	United States. Bureau of the Census.	U.S. Dept. of Commerce, Bureau of the Census : For sale by Supt. of Docs., U.S.G.P.O.,	1986	C 3.250:WB82-1	google	OSU	https://catalog.hathitrust.org/Record/102182503	Full View
Mie scattering calculations	Wiscombe, Warren J. National Science Foundation (U.S.) National Center for Atmospheric Research (U.S.). Atmospheric Analysis and Prediction Division.	National Technical Information Service, U.S. Dept. of Commerce,	1979		google	OSU	https://catalog.hathitrust.org/Record/102181610	Full View
Census of manufactures: 1963	United States. Bureau of the Census.		1967		google	OSU	https://catalog.hathitrust.org/Record/102152703	Limited View
Manual of geodetic triangulation	Gossett, F. R.	U.S. Govt. Print. Off.,	1959		google	OSU	https://catalog.hathitrust.org/Record/102182069	Full View
Report of the Presiding Officer on proposed trade regulation rule : concerning the advertising for over-the-counter antacids	United States. Federal Trade Commission. Greenan, James P.	U.S. FTC,	1979		google	OSU	https://catalog.hathitrust.org/Record/102182436	Full View
Digest of the purposes of current federal agencies	United States Information Service.		1935		google	OSU	https://catalog.hathitrust.org/Record/102153276	Limited View
Basic rescue course, instructor's guide	United States. Office of Civil Defense.		1963		google	OSU	https://catalog.hathitrust.org/Record/1620987	Full View
