The foreign aid programs and the United States economy ...	National Planning Association.	U. S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101797612	Full View
Suspension of import duty on copper	United States. Congress. Senate. Committee on Finance.	U. S. Govt. Print. Off.,	1955		google	SRLF	https://catalog.hathitrust.org/Record/101797750	Full View
The role of foreign aid in the development of other countries ...	University of Chicago. Research Center in Economic Development and Cultural Change.	U. S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101797825	Full View
Tax Reform Act of 1969, H.R. 13270: statement of the honorable David M. Kennedy, Secretary of the Treasury	United States. Department of the Treasury. Kennedy, David Matthew, 1905-1996. United States. Congress. Senate. Committee on Finance.	U.S. Govt. Print. Off.,	1969		google	SRLF	https://catalog.hathitrust.org/Record/101797802	Full View
DEA's demand reduction program	United States. Drug Enforcement Administration. Demand Reduction Section.	U.S. Dept. of Justice, Drug Enforcement Administration, Demand Reduction Section,	1991	J 24.2:D 39	google	UCR	https://catalog.hathitrust.org/Record/101733333	Full View
Proceedings of the Thirty-first Annual Symposium on Sea Turtle Biology and Conservation	Annual Symposium on Sea Turtle Biology and Conservation (31st : 2011 : San Diego, California, USA) Wallace, Bryan P Jones, T. Todd Southeast Fisheries Science Center (U.S.) United States. National Oceanic and Atmospheric Administration	National Marine Fisheries Service, Southeast Fisheries Science Center,	2012		google	UCSD	https://catalog.hathitrust.org/Record/101796967	Full View
Proceedings of the Twenty-ninth Annual Symposium on Sea Turtle Biology and Conservation	Annual Symposium on Sea Turtle Biology and Conservation (29th : 2009 : Brisbane, Queensland, Australia) Belskis, Lisa Southeast Fisheries Science Center (U.S.) United States. National Oceanic and Atmospheric Administration	National Marine Fisheries Service, Southeast Fisheries Science Center,	2012		google	UCSD	https://catalog.hathitrust.org/Record/101796966	Full View
Foreign aid activities of other free nations ...	Surveys & Research Corporation.	U. S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101797683	Full View
The use of private contractors in foreign aid programs	Jacobson (Jerome) Associates, Washington, D. C.	U. S. Govt. Print. Off.,	1957		google	SRLF	https://catalog.hathitrust.org/Record/101797550	Full View
Service opinion and acceptance of "Officers' Conference" films	Edrington, Thomas C.	Dept. of Defense, Office of Armed Forces Information and Education, Research Division,	1954		google	SRLF	https://catalog.hathitrust.org/Record/101797505	Full View
An introduction to the PERT/Cost system	Management Systems Corporation. United States. Bureau of Naval Weapons. Special Projects Office.	U.S. Govt. Print. Off.,	1961		google	SRLF	https://catalog.hathitrust.org/Record/101797598	Full View
Tax Reform Act of 1969, H.R. 13270	United States. Congress. Senate. Committee on Finance.	U.S. G.P.O.,	1969		google	SRLF	https://catalog.hathitrust.org/Record/101797893	Full View
Bill text, changes in existing law, and section-by-section analysis of S. 1126: higher education amendments of 1967 ...	United States. Office of Education. United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Education.	U.S. Govt. Print. Off.,	1967		google	SRLF	https://catalog.hathitrust.org/Record/101797817	Full View
Report of the staff survey team of the Subcommittee for Review of the Mutual Security Programs on United States aid to Korea, Vietnam, and Turkey . . .	United States. Congress. House. Committee on Foreign Affairs.	U.S. Govt. Print. Off.,	1962		google	SRLF	https://catalog.hathitrust.org/Record/101797861	Full View
Guide to the identification of larval and early juvenile pricklebacks (Perciformes: Zoarcoidei: Stichaeidae) in the northeastern Pacific Ocean and Bering Sea	Matarese, Ann C., Busby, Morgan S., author Blood, Deborah M., author United States. National Marine Fisheries Service, issuing body	U.S. Department of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service,	2013	C 55.25:NMFS 15	google	UCSD	https://catalog.hathitrust.org/Record/101796952	Full View
Bill text, changes in existing law, and section-by section analysis of S. 1125: elementary and secondary education amendments of 1967 ...	United States. Office of Education. United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Education.	U.S. Govt. Print. Off.,	1967		google	SRLF	https://catalog.hathitrust.org/Record/101797816	Full View
Oversight on the Federal Aviation Administration fiscal year 1988 research, engineering, and development budget request	United States. Congress. House. Committee on Science, Space, and Technology. Subcommittee on Transportation, Aviation, and Materials.	U.S. G.P.O. : For sale by the Supt. of Docs., Congressional Sales Office, U.S. G.P.O.,	1987	Y 4.Sci 2:100/6	google	UCR	https://catalog.hathitrust.org/Record/101750520	Full View
Fairing well	Gelzer, Christian, 1957-	National Aeronautics and Space Administration, Office of Communications, Public Outreach Division, NASA History Program Office,	2011	NAS 1.21:2011-4546	google	UCSD	https://catalog.hathitrust.org/Record/101796994	Full View
Congress and mass communications	United States. Congress. Joint Committee on Congressional Operations.	U.S. Govt. Print. Off.,	1974	Y 4.C 76/7:C 73/3/app	google	SRLF	https://catalog.hathitrust.org/Record/101797739	Full View
Red China's "capitalist bomb"	Ray, Jonathan, National Defense University. Institute for National Strategic Studies Center for the Study of Chinese Military Affairs (National Defense University)	National Defense University Press,	2015		google	UCSD	https://catalog.hathitrust.org/Record/101797244	Full View
Bathyraja panthera, a new species of skate (Rajidae:Arhynchobatinae) from the western Aleutian Islands, and resurrection of the subgenus Arctoraja Ishiyama	Orr, James Wilder, 1958- United States. National Marine Fisheries Service	U.S. Dept. of Commerce, National Oceanic and Atmospheric Administration, National Marine Fisheries Service, Scientific Publications Office ; [Distributed by] U.S. Dept. of Commerce, National Technical Information Service,	2011		google	UCSD	https://catalog.hathitrust.org/Record/101796951	Limited View
When biospheres collide	Meltzer, Michael, 1946-	NASA Aeronautics and Space Administration : For sale by the Supt. of Docs., U.S. G.P.O.,	2010	NAS 1.21:2011-4234	google	UCSD	https://catalog.hathitrust.org/Record/10762582	Full View
The Emergency Employment Act	Levitan, Sar A. United States. Congress. Senate. Committee on Labor and Public Welfare. Subcommittee on Employment, Manpower, and Poverty.	U.S. Govt. Print. Off.,	1972	Y 4.L 11/2 : Em 7/18	google	SRLF	https://catalog.hathitrust.org/Record/101797508	Full View
Conditions affecting shellfish production in Lynnhaven Bay, Virginia, and the possibilities of improving them by increasing tidal flow	Chipman, Walter A., Jr	U.S. Fish and Wildlife Service,	1948		google	UCSD	https://catalog.hathitrust.org/Record/101796954	Full View
X-15	Jenkins, Dennis R	NASA,	2007		google	UCSD	https://catalog.hathitrust.org/Record/101797005	Full View
Report of cruise no. 72, M/V Oregon	United States. Bureau of Commercial Fisheries. Branch of Exploratory Fishing	U.S. Department of the Interior, Fish and Wildlife Service, Bureau of Commercial Fisheries,	1960		google	UCSD	https://catalog.hathitrust.org/Record/101796962	Full View
Report of cruise no. 39, M/V Silver Bay	United States. Bureau of Commercial Fisheries. South Atlantic Exploration and Gear Research	U.S. Department of the Interior, Fish and Wildlife Service, Bureau of Commercial Fisheries,	1962		google	UCSD	https://catalog.hathitrust.org/Record/101796970	Full View
Geologic report	Webster, Frank L United States. Minerals Management Service. Pacific OCS Region	U.S. Dept. of the Interior, Minerals Management Service, Pacific OCS Region,	1985		google	UCSD	https://catalog.hathitrust.org/Record/8329351	Full View
Species profiles	Mercer, Linda P. (Linda Pushee), 1947- National Wetlands Research Center (U.S.) U.S. Army Engineer Waterways Experiment Station. Coastal Ecology Group	The Service ; The Group,	1989		google	UCSD	https://catalog.hathitrust.org/Record/8337087	Full View
Loggerhead sea turtles	Witherington, Blair E., 1962- Bolten, Alan B., 1945-	Smithsonian Books,	2003		google	UCSD	https://catalog.hathitrust.org/Record/4330857	Limited View
Index to publications of the United States Department of Agriculture, 1926-1930	United States. Department of Agriculture. Division of Publications Bradley, Mary Alice, 1895-	U.S. Govt. Print. Off,	1935		google	UCSD	https://catalog.hathitrust.org/Record/8331618	Full View
The challenge grant experience	Gingold, Diane J National Endowment for the Arts. Challenge Grant Program	Challenge Grant Program, National Endowment for the Arts,	1980		google	UCSD	https://catalog.hathitrust.org/Record/101796528	Full View
Choosing the optimum financial strategy for pollution control investments	United States. Environmental Protection Agency. Commins, J. Marshall, C.	Environmental Protection Agency Technology Transfer,	1976	EP 7.10:F 49	google	UCR	https://catalog.hathitrust.org/Record/101798911	Limited View
Hard clam	Eversole, Arnold G. (Arnold George), 1941- National Wetlands Research Center (U.S.) U.S. Army Engineer Waterways Experiment Station. Coastal Ecology Group	Fish and Wildlife Service, U.S. Dept. of the Interior ; Coastal Ecology Group, Waterways Experiment Station, U.S. Army Corps of Engineers,	1987	I 49.89/2:82 (11.75)	google	UCSD	https://catalog.hathitrust.org/Record/8336065	Full View
The effects of atomic weapons	Hirschfelder, Joseph O., 1911-1990, editor U.S. Atomic Energy Commission United States. Department of Defense Los Alamos Scientific Laboratory	U.S. Government Printing Office,	1950	Y 3.At 7:2 At 7/11/950-2	google	UCSD	https://catalog.hathitrust.org/Record/8329560	Full View
Reservoir temperature stratification	United States. Army. Corps of Engineers.	U.S. Army Engineer District, Sacramento,	1972	D 103.55/2:C 73/3	google	UCR	https://catalog.hathitrust.org/Record/101798497	Full View
Water quality criteria research of the U. S. Environmental Protection Agency	Corvallis Environmental Research Laboratory. Technical Information Office. American Institute of Biological Sciences. United States. Environmental Protection Agency.	U. S. Corvallis Environmental Research Laboratory ; for sale from National Technical Information Service,	1976	EP 1.23:600/3-76-079	google	UCR	https://catalog.hathitrust.org/Record/101798906	Limited View
WESTEX	Fontane, Darrell G. U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. Water Operations Technical Support Program.	U.S. Army Engineer Waterways Experiment Station ; Available from National Technical Information Service,	1993		google	UCR	https://catalog.hathitrust.org/Record/101798901	Full View
Modern trends in activation analysis ; proceedings of the 1968 international conference held at the National Bureau of Standards, Gaithersburg, Maryland, October 7-11, 1968	International Conference on Modern Trends in Activation Analysis (1968 : Gaithersburg, Md.) Devoe, James R., ed. LaFleur, Philip D., joint ed.	For sale by the Supt. of Doc., U.S. Govt. Print. Off.,	1969		google	OSU	https://catalog.hathitrust.org/Record/101802494	Full View
Index-digest of decisions	United States. Foreign Claims Settlement Commission.	U.S. G.P.O.,	1964		google	OSU	https://catalog.hathitrust.org/Record/101802807	Full View
Optimum design of water harvesting structures by computer	Frasier, Gary W. United States. Agricultural Research Service.	Agricultural Research Service, U.S. Dept. of Agriculture,	1971		google	UCR	https://catalog.hathitrust.org/Record/101798894	Full View
A guide to the proper selection and use of federally approved sediment and water-quality samplers	Davis, B. E. (Broderick E.) Geological Survey (U.S.) Federal Inter-Agency Sedimentation Project (U.S.)	U.S. Dept. of the Interior, U.S. Geological Survey,	2005		google	UCR	https://catalog.hathitrust.org/Record/101798891	Full View
Laos: April 1971; a staff report ...	United States. Congress. Senate. Committee on Foreign Relations. Subcommittee on United States Security Agreements and Commitments Abroad.	U.S. Govt. Print. Off.,	1971		google	SRLF	https://catalog.hathitrust.org/Record/101818473	Full View
Magnesium in water	Water Resources Scientific Information Center.	Water Resources Scientific Information Center,	1971		google	UCR	https://catalog.hathitrust.org/Record/101798882	Full View
HEC-3, reservoir system analysis for conservation	Hydrologic Engineering Center (U.S.) Water Resources Support Center (U.S.)	US Army Corps of Engineers, Water Resources Support Center ; Hydrologic Engineering Center,	1981	D 103.55/2:R 311/users	google	UCR	https://catalog.hathitrust.org/Record/101798501	Full View
Disposal of roadside litter mixtures	Andres, Dorothy L. National Research Council (U.S.). Transportation Research Board. National Cooperative Highway Research Program.	National Academy Press,	1993		google	NWU	https://catalog.hathitrust.org/Record/10642356	Full View
RECOVERY	Boyer, Jean M. Water Quality Research Program (U.S.) U.S. Army Engineer Waterways Experiment Station. United States. Army. Corps of Engineers. United States. Army. Corps of Engineers. New York District. United States. Army. Corps of Engineers. New England Division.	U.S. Army Engineer Waterways Experiment Station,	1994		google	UCR	https://catalog.hathitrust.org/Record/101798877	Full View
COED	Hydrologic Engineering Center (U.S.)	Hydrologic Engineering Center, U.S. Army Corps of Engineers,	1987		google	UCR	https://catalog.hathitrust.org/Record/101798498	Full View
Consolidated summary of state reporting requirements for the Safe Drinking Water Information System (SDWIS)	PWSS Data Sharing Committee. Cadmus Group. United States. Environmental Protection Agency. Office of Ground Water and Drinking Water.	The Office,	1995		google	UCR	https://catalog.hathitrust.org/Record/101798878	Full View
Property disposition handbook	United States. Department of Housing and Urban Development.	U.S. Dept. of Housing and Urban Development,	1969	HH 1.6/6:4305.2	google	UCR	https://catalog.hathitrust.org/Record/101733297	Full View
Endorsement for insurance for home mortgage programs (single family).	United States. Department of Housing and Urban Development.	U.S. Dept. of Housing and Urban Development,	1992	HH 1.6/6:4165.1/rev-1	google	UCR	https://catalog.hathitrust.org/Record/101733296	Full View
Connecticut's urban strategy	Tenzer, Morton J., 1931- Lewis, Carol W. (Carol Weiss), 1946- National Academy of Public Administration. United States. Department of Housing and Urban Development. Office of Policy Development and Research.	U.S. Dept. of Housing and Urban Development, Office of Policy Development and Research : For sale by the Supt. of Docs., U.S. G.P.O.,	1980	HH 1.89:C 76	google	UCR	https://catalog.hathitrust.org/Record/243595	Full View
West Virginia, 2010	U.S. Census Bureau, author.	U.S. Department of Commerce, Economics and Statistics Administration, U.S. Census Bureau,	2012	C 3.223/5:2010 CPH-2-50	google	UCR	https://catalog.hathitrust.org/Record/101798957	Full View
Mineral resource information sources in the western United States	Marcus, Susan M Geological Survey (U.S.) United States. Bureau of Land Management	U.S. Dept. of the Interior, U.S. Geological Survey,	1991	I 19.4/2:1063	google	UCSD	https://catalog.hathitrust.org/Record/101797007	Full View
A Barefoot doctor's manual	Hunan Zhong yi yao yan jiu suo. John E. Fogarty International Center for Advanced Study in the Health Sciences. Geographic Health Studies Program.	National Institutes of Health,	1974		google	NWU	https://catalog.hathitrust.org/Record/10596717	Full View
Fostering the growing need to learn	Project Continuing Education for Health Manpower. United States. Regional Medical Programs Service.	U.S. Health Resources Administration],	1974		google	NWU	https://catalog.hathitrust.org/Record/10596529	Full View
Chico, The Village development	United States. Department of Housing and Urban Development.		1977	HUD-CA-771216	google	NWU	https://catalog.hathitrust.org/Record/100977058	Full View
SR-125 construction on new alignment, Fletcher Parkway to proposed SR-52, El Cajon/San Diego/La Mesa/Santee	United States. Federal Highway Administration.		1990	FHWA-CA-900019	google	NWU	https://catalog.hathitrust.org/Record/100975562	Full View
Bioassay of o-toluidine hydrochloride for possible carcinogenicity	Frederick Cancer Research Center National Institutes of Health (U.S.) Carcinogenesis Testing Program (U.S.)	U. S. Dept. of Health and Human Services, Public Health Service, National Institutes of Health,	1979		google	NWU	https://catalog.hathitrust.org/Record/10597555	Full View
Dinitrotoluenes (DNT).	National Institute for Occupational Safety and Health.	U.S. Dept. of Health and Human Services, Public Health Service, Centers for Disease Control, National Institute for Occupational Safety and Health,	1985		google	NWU	https://catalog.hathitrust.org/Record/10597553	Full View
DDT in water	Water Resources Scientific Information Center.	The Center ; available from the National Technical Information Service],	1976		google	UCR	https://catalog.hathitrust.org/Record/101798884	Full View
Columbus, Laurel Greene subdivision	United States. Department of Housing and Urban Development.		1978	HUD-OH-780668	google	NWU	https://catalog.hathitrust.org/Record/100981522	Full View
Blenheim-Gilboa project no.2685	United States. Federal Power Commission.		1970	FPC-NY-700883	google	NWU	https://catalog.hathitrust.org/Record/100982738	Full View
Sunset Area Community Planned Action	United States. Department of Housing and Urban Development.		2011	HUD-WA-110091	google	NWU	https://catalog.hathitrust.org/Record/100978470	Full View
A validation and analysis of selection procedures for male and female bus operators	Froemel, Ernest C. Penny, Robert E. Baehr, Melany E. United States. Urban Mass Transportation Administration. Massachusetts Bay Transportation Authority. University of Chicago. Human Resources Center.	Urban Mass Transportation Administration,	1980		google	NWU	https://catalog.hathitrust.org/Record/10608273	Full View
Yesler Terrace redevelopment	United States. Department of Housing and Urban Development.		2011	HUD-WA-110124	google	NWU	https://catalog.hathitrust.org/Record/100975863	Full View
Three Mile Island Nuclear Station, units 1-2, operation	U.S. Atomic Energy Commission.		1972	AEC-PA-725722	google	NWU	https://catalog.hathitrust.org/Record/100931985	Full View
Water quality standards for the 21st century	Flock, Gretchen H. United States. Environmental Protection Agency. Office of Water.	U. S. Environmental Protection Agency, Office of Water,	1989		google	UCR	https://catalog.hathitrust.org/Record/101798849	Full View
Advancing metropolitan planning for operations	Worth, Phillip. ICF International (Firm) Kittelson & Associates. Science Applications International Corporation. United States. Federal Transit Administration. United States. Federal Highway Administration.	Federal Highway Administration : Federal Transit Administration,	2010		google	NWU	https://catalog.hathitrust.org/Record/10629691	Full View
Barnes Air National Guard Base, modification of the Condor 1 and Condor 2 military operations areas, 104th Fighter Wing	United States. Air Force.		2009	USAF-MA-090272	google	NWU	https://catalog.hathitrust.org/Record/100972694	Full View
