title	author	publisher	pub_date	sudoc	digagent	contributor	ht_link	availability
Measuring species diversity on revegetated surface mines	Chambers, Jeanne C. Intermountain Forest and Range Experiment Station (Ogden, Utah)	U.S. Dept. of Agriculture, Forest Service, Intermountain Forest and Range Experiment Station,	1983	A 13.78:INT 322	google	OSU	https://catalog.hathitrust.org/Record/102257638	Full View
Population profile of the United States, 1999	Waldrop, Janice. United States. Bureau of the Census.	Bureau of the Census : For sale by the Supt. of Docs., U.S. G.P.O,	2001	C 3.186/8:999	google	OSU	https://catalog.hathitrust.org/Record/102257672	Full View
Controlling dodder in alfalfa	Dawson, J. H. (Jean H.), 1933- Timmons, F. L. (Francis Leonard), 1905- Lee, William O., 1911-	U.S. Dept. of Agriculture,	1965		google	OSU	https://catalog.hathitrust.org/Record/102257699	Full View
Spread and infestation by the European corn borer during 1926	Worthley, L. H. (Leon Howard) Caffrey, Donald John, 1886-	Govt. Print. Off.,	1927		google	OSU	https://catalog.hathitrust.org/Record/102257877	Full View
Handbook of public assistance administration	United States. Bureau of Family Services.		1946		google	MIU	https://catalog.hathitrust.org/Record/1340584	Limited View
Orders and regulations	United States. Army. Corps of Engineers.		1946		google	MIU	https://catalog.hathitrust.org/Record/2028892	Full View
Salinity and hydrology of closed lakes	Langbein, Walter Basil, 1907-	U.S.Govt.Print.Off.,	1961		google	OSU	https://catalog.hathitrust.org/Record/102256719	Full View
Activities of the American Public Relating to Animals	Kellert, Stephen R. Berry, Joyce K. U.S. Fish and Wildlife Service. Yale University. School of Forestry and Environmental Studies.	The Service,	1980		google	OSU	https://catalog.hathitrust.org/Record/102255769	Full View
Uranium industry seminar	Uranium Industry Seminar (1975 : Grand Junction, Colo.) United States. Energy Research and Development Administration. Grand Junction Office.	U.S. Energy Research and Development Administration,	1975		google	OSU	https://catalog.hathitrust.org/Record/102256939	Full View
Trade and employment effects of tariff reductions agreed to in the MTN	Bayard, Thomas O. Orr, James A. United States. Office of Foreign Economic Research.	U.S. Dept. of Labor, Bureau of International Labor Affairs, Office of Foreign Economic Research ; For sale by the National Technical Information Service],	1980		google	OSU	https://catalog.hathitrust.org/Record/102257142	Full View
Fertilizer prices and price indexes	National Fertilizer Association (1925-1955) Willett, Herbert, 1902-		1938		google	OSU	https://catalog.hathitrust.org/Record/102255814	Full View
Removing radionuclides from fresh milk	Producers Creamery Company. Bales, Ronald E. National Center for Radiological Health (U.S.)	Dept. of Health, Education and Welfare, Public Health Service, National Center for Radiological Health,	1966		google	OSU	https://catalog.hathitrust.org/Record/102256105	Full View
Classification	Library of Congress. Subject Cataloging Division.	The Library : for sale by Cataloging Distribution Services, Library of Congress,	1978		google	UIUC	https://catalog.hathitrust.org/Record/102256973	Full View
Toxic substances in the Great Lakes	United States. Environmental Protection Agency. Region V.	The Agency, Office of Public Information ; [Washington : U.S. GPO,	1980		google	OSU	https://catalog.hathitrust.org/Record/102257113	Full View
Warren county	Writers' Program (New York, N.Y.) Warren County (N.Y.). Board of Supervisors.	Printed by the Glens Falls post company,	1942		google	OSU	https://catalog.hathitrust.org/Record/5062493	Limited View
A report on national planning and public works in relation to natural resources and including land use and waater resources with findings and recommendations	United States. National Resources Board.	U.S. Govt. print. off.,	1934		google	OSU	https://catalog.hathitrust.org/Record/100660553	Limited View
Regional and residential impacts of the proposed Better Jobs and Income Program	Pryor, Shirley. United States. Department of Agriculture. Economics, Statistics, and Cooperatives Service.	U. S. Dept. of Agriculture, Economics, Statistics, and Cooperatives Service ; available from National Technical Information Service,	1979	A 105.25:69	google	OSU	https://catalog.hathitrust.org/Record/102257023	Full View
Architectural programming, state of the art	Evans, Benjamin H.	U.S. Dept. of Health, Education & Welfare, Office of Education],	1967		google	OSU	https://catalog.hathitrust.org/Record/102257067	Full View
Habitat requirements of anadromous salmonids	Reiser, D. W. Bjornn, T. C. Pacific Northwest Forest and Range Experiment Station (Portland, Or.)	Pacific Northwest Forest and Range Experiment Station,	1979		google	OSU	https://catalog.hathitrust.org/Record/102257187	Full View
Passive solar design	AIA Research Corporation. United States. Department of Energy. Solar Heating and Cooling Research and Development Branch.	The Branch ; available from National Technical Information Service,	1978	E 1.28:HCP/CS-4113-2	google	OSU	https://catalog.hathitrust.org/Record/102257070	Full View
Polyacrylamide gel electrophoresis of Anthonomus grandis Boheman proteins	Terranova, Andrew C.	Agricultural Research (Southern Region), Science and Education Administration, U.S. Dept. of Agriculture,	1981		google	OSU	https://catalog.hathitrust.org/Record/102257094	Full View
IFR aircraft handled forecast by Air Route Traffic Control Center, fiscal years 1975-1986	United States. Federal Aviation Administration.	U. S. Govt. Print. Off.,	1974		google	OSU	https://catalog.hathitrust.org/Record/102256309	Full View
1977 census of transportation	United States. Bureau of the Census. Economic Surveys Division.	U.S. Dept. of Commerce, Bureau of the Census : For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1979		google	OSU	https://catalog.hathitrust.org/Record/102257121	Full View
Public attitudes toward critical wildlife and natural habitat issues	Kellert, Stephen R. Berry, Joyce K. Yale University. School of Forestry and Environmental Studies.	National Technical Information Service, U.S. Dept. of Commerce,	1979		google	OSU	https://catalog.hathitrust.org/Record/102255768	Full View
A statistical analysis of the world's merchant fleets	United States. Maritime Administration. Office of Subsidy Administration.	U. S. Dept. of Commerce, Maritime Administration : for sale by the Supt. of Docs., U. S. Govt. Print. Off.,	1972		google	OSU	https://catalog.hathitrust.org/Record/102256312	Full View
Examples and ideas to stimulate and improve the design, art & architecture of airports	Bowman, Donald P. United States. Federal Aviation Administration.	U.S. Dept. of Transportation, Federal Aviation Administration,	1981	TD 4.2:Ai 7/38	google	OSU	https://catalog.hathitrust.org/Record/102257098	Full View
Higher education prices and price indexes	Halstead, D. Kent, 1930-	U.S. Dept. of Health, Education, and Welfare,	1977		google	OSU	https://catalog.hathitrust.org/Record/102256951	Full View
Report on water pollution in the Maumee River basin	United States. Federal Water Pollution Control Administration. Great Lakes-Illinois River Basins Project.	[For sale by the Superintendent of Documents, U. S. Govt. Print. Off., Washington]	1966		google	OSU	https://catalog.hathitrust.org/Record/102257183	Full View
Esthetics and visual resource management for highways	Blair, William G. E. Harvard, Peter. Jones & Jones. American Society of Landscape Architects. United States. Department of Transportation.	U.S. Dept. of Transportation, Federal Highway Administration, National Highway Institute and Office of Environmental Policy,	1979		google	OSU	https://catalog.hathitrust.org/Record/102257058	Full View
Historic American Buildings Survey : Northern Illinois, 1833-1872	United States. Works Progress Administration. Illinois State Historical Library. United States. National Park Service. Historic American Buildings Survey.	[HABS],	1968		google	OSU	https://catalog.hathitrust.org/Record/102257065	Full View
FDA inspections operations manual	United States. Department of Health and Human Services. United States. Food and Drug Administration. United States. Public Health Service.	Washington Business Information, Inc.,	1983		google	OSU	https://catalog.hathitrust.org/Record/102255779	Full View
Soil survey of Defiance County, Ohio	Flesher, E. C. Ohio Agricultural Research and Development Center. Ohio. Division of Soil and Water Conservation. United States. Soil Conservation Service.	The Service,	1984		google	OSU	https://catalog.hathitrust.org/Record/102257208	Full View
1983-1984 Oxygen depletion study	Rathke, David E. Fay, Laura A. United States. Environmental Protection Agency. Great Lakes National Program Office.	Ohio State University, Center for Lake Erie Area Research, 1984]	1984		google	OSU	https://catalog.hathitrust.org/Record/102257323	Full View
Agricultural development in Haiti	Zuvekas, Clarence. USAID/Haiti.	Agency for International Development,	1978		google	OSU	https://catalog.hathitrust.org/Record/102257100	Full View
Correctional facility design and construction management	Sechrest, Dale K. Price, Shelley J. Commission on Accreditation for Corrections.	U.S. Dept. of Justice, National Institute of Justice, Office of Development, Testing and Dissemination : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1985		google	OSU	https://catalog.hathitrust.org/Record/102255782	Full View
A state response to urban problems	United States. Advisory Commission on Intergovernmental Relations.		1970		google	OSU	https://catalog.hathitrust.org/Record/102256123	Limited View
Wardens' Conference, June 25-27, 1962, University of Colorado, Boulder, Colorado	Warden's Conference (1962 : Boulder, Colo.)	United States Bureau of Prisons,	1962		google	OSU	https://catalog.hathitrust.org/Record/102255717	Full View
U.S.-state agricultural data	Rivers, Mary H.	National Economics Division, Economic Research Service, USDA,	1985		google	OSU	https://catalog.hathitrust.org/Record/102257267	Full View
Final environmental impact statement, phase I : Cuyahoga Valley Interceptor	United States. Environmental Protection Agency. Region V. Cleveland Regional Sewer District. Wapora, inc.	The Agency,	1976		google	OSU	https://catalog.hathitrust.org/Record/102256913	Limited View
Fly-ash as a construction material for highways	Meyers, James F. Kapples, Bernadette S. GAI Consultants, Inc. United States. Federal Highway Administration.	Federal Highway Administration ; available through the National Technical Information Service,	1976	TD 2.36:76-16	google	OSU	https://catalog.hathitrust.org/Record/102257238	Full View
Collapse of U.S. 35 highway bridge, Point Pleasant, West Virginia, December 15, 1967	United States. National Transportation Safety Board.		1969		google	OSU	https://catalog.hathitrust.org/Record/102256069	Full View
Reuse of historically and architecturally significant railroad stations for transportation and other community needs	Webber, Margo B. McGinley, Paul J., joint author. United States. Department of Transportation. Office of Environment and Safety. Anderson Notter Finegold Inc. United States. Department of Transportation. Office of the Secretary.	Dept. of Transportation ; Available through the National Technical Information Service,	1978		google	OSU	https://catalog.hathitrust.org/Record/102256997	Full View
Energy conservation advisory program	Living Systems (Firm)	Living Systems,	1976		google	OSU	https://catalog.hathitrust.org/Record/102257054	Full View
Displacement report	United States. Department of Housing and Urban Development.	National Technical Information Service, U.S. Dept. of Commerce,	1979		google	OSU	https://catalog.hathitrust.org/Record/102257053	Full View
United States Government memorandum to: businessmen	United States. Agency for International Development. Office of Development Finance and Private Enterprise.	For sale by the Superintendent of Documents, U.S. Govt. Print. Off.,	1963		google	OSU	https://catalog.hathitrust.org/Record/102256726	Full View
Energy facts II	Library of Congress. Science Policy Research Division. Smith, Winifred Griffin. United States. Congress. House. Committee on Science and Technology. Subcommittee on Energy Research, Development, and Demonstration.	U. S. Govt. Print. Off.,	1975		google	OSU	https://catalog.hathitrust.org/Record/102256307	Limited View
Gambling in America	United States. Commission on the Review of the National Policy Toward Gambling.	The Commission, 1976.	1976		google	OSU	https://catalog.hathitrust.org/Record/102255737	Full View
Historic American Buildings Survey : northern Illinois, 1716-1867	United States. National Park Service. Historic American Buildings Survey.	HABS, 1968]	1981		google	OSU	https://catalog.hathitrust.org/Record/102257226	Full View
Problems and needs of the environmental design research community	McClure, Paul K. Dudik, Evan M. National Science Foundation (U.S.) AIA Research Corporation.	AIA Research Corp.,	1978		google	OSU	https://catalog.hathitrust.org/Record/102257071	Full View
Basic mathematics	U.S. Army Engineer School.	The School ; for sale by the Supt. of Docs., U.S.G.P.O.,	1974		google	OSU	https://catalog.hathitrust.org/Record/102257134	Limited View
An inventory of the bibliographies and other reference and finding aids prepared by the Archive of Folk Culture	Hickerson, Joseph Charles, 1935- Archive of Folk Song (U.S.)	Library of Congress, Archive of Folk Culture,	1984		google	OSU	https://catalog.hathitrust.org/Record/102257245	Full View
Status of research in microbiology: environmental microbiology	National Institute of General Medical Sciences (U.S.). Microbiology Training Committee.		1968		google	OSU	https://catalog.hathitrust.org/Record/102255722	Limited View
New frontiers in pest management	University of California, Berkeley.	s.n.],	1977		google	OSU	https://catalog.hathitrust.org/Record/102257281	Full View
Maximum hour legislation in France, 1936-1940	United States. Department of Labor. Wage and Hour Division.		1941		google	OSU	https://catalog.hathitrust.org/Record/102256586	Full View
Banning the car downtown	Brambilla, Roberto, 1939- Longo, Gianni, 1947- joint author.	Dept. of Housing and Urban Development : for sale by the Supt. of Docs., U.S. Govt. Print. Off.	1977		google	OSU	https://catalog.hathitrust.org/Record/102256963	Full View
Strategic raw materials	National Association of Manufacturers (U.S.)	The Association,	1941		google	OSU	https://catalog.hathitrust.org/Record/102256819	Full View
Small business problems in the petroleum industry (tires, batteries, and accessories)	United States. Congress. House. Select Committee on Small Business.	U. S. Govt. Print. Off.,	1960		google	OSU	https://catalog.hathitrust.org/Record/102256612	Full View
Urban waterfront revitalization	United States. Heritage Conservation and Recreation Service. Water Resources Section.	Heritage Conservation and Recreation Service, Dept. of the Interior,	1980	I 70.2:Ur 1/2/v.1/sum, I 70.2:Ur 1/2/v.1-2	google	OSU	https://catalog.hathitrust.org/Record/102257110	Full View
Tariff classification study	United States Tariff Commission.	U.S. Govt. Print. Off.,	1960		google	OSU	https://catalog.hathitrust.org/Record/102256592	Full View
A playground for all children	New York (N.Y.). Department of City Planning. United States. Department of Housing and Urban Development. Office of Policy Development and Research.	U.S. Dept. of Housing and Urban Development, Office of Policy Development and Research : For sale by the Supt. of Docs., U.S. G.P.O.,	1976		google	OSU	https://catalog.hathitrust.org/Record/102257164	Full View
1990 census of population and housing	United States. Bureau of the Census.	U.S. Dept. of Commerce, Bureau of the Census : For sale by the Supt. of Docs., U.S. G.P.O.,	1993		google	OSU	https://catalog.hathitrust.org/Record/102256733	Full View
City government, tourism & economic development	National League of Cities--United States Conference of Mayors. United States Travel Service.	U.S. Dept. of Commerce, United States Travel Service,	1978		google	OSU	https://catalog.hathitrust.org/Record/102257038	Full View
HUD minimum property standards	United States. Department of Housing and Urban Development. United States. Federal Housing Administration.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1973		google	OSU	https://catalog.hathitrust.org/Record/102256295	Limited View
Barley	United States. Science and Education Administration.	Dept. of Agriculture, Science and Education Administration : for sale by the Supt. of Docs., U.S. Govt. Print. Off.,	1979	A 1.76:338/979	google	OSU	https://catalog.hathitrust.org/Record/102257017	Full View
Colorado geographic names	Geological Survey (U.S.). Office of Research & Technical Standards. Geological Survey (U.S.). Branch of Geographic Names. Geographic Names Information System.	U.S.G.S. Topographic Division, Office of Research & Technical Standards, National Center,	1981		google	OSU	https://catalog.hathitrust.org/Record/102257012	Full View
Judicial criminal statistics. 1933-1945	United States. Bureau of the Census.				google	OSU	https://catalog.hathitrust.org/Record/1719520	Full View
Columbia River Basin salmon & steelhead management framework  plan	Columbia River Fisheries Council.	Columbia River Fisheries Council,	1981		google	OSU	https://catalog.hathitrust.org/Record/102257159	Full View
International organizations and agricultural development	Kriesberg, Martin, 1917-	Office of International Cooperation and Development, U.S. Dept. of Agriculture,	1981		google	OSU	https://catalog.hathitrust.org/Record/102257089	Full View
Effects of cotton genotype and early or no insecticide treatment on abundance of selected cotton insects in the Mississippi Delta	United States. Agricultural Research Service.	U.S. Dept. of Agriculture, Agricultural Research Service ; Crop Science and Engineering Research Laboratory [distributor],	1982	A 77.32:S-12	google	OSU	https://catalog.hathitrust.org/Record/102257152	Full View
Foreign direct investment in the United States	Hawaii International Services Agency. United States. Office of Foreign Investment in the United States.	The Office,	1980	C 61.2:H 31	google	OSU	https://catalog.hathitrust.org/Record/102257033	Full View
An introduction to FDA drug regulation	Center for Drug Evaluation and Research (U.S.)	Dept. of Health and Human Services, Public Health Service, Food and Drug Administration, Center for Drug Evaluation and Research and Office of Regulatory Affairs,	1990		google	OSU	https://catalog.hathitrust.org/Record/102255811	Full View
Sweetpotato diseases	United States. Agricultural Marketing Service. Biological Sciences Branch. United States. Agricultural Research Service. Horticultural Crops Research Branch.	U.S. Dept. of Agriculture,	1955		google	OSU	https://catalog.hathitrust.org/Record/102257454	Full View
Strawberry varieties in the United States	Darrow, George M. (George McMillan), 1889- Waldo, George F. (George Fordyce), 1898- Scott, D. H. (Donald Hyde), 1911-	U.S. Dept. of Agriculture,	1958		google	OSU	https://catalog.hathitrust.org/Record/102257455	Full View
Strawberry varieties in the United States	Scott, D. H. (Donald Hyde), 1911- Lawrence, F. J. (Francis J.) Darrow, George M. (George McMillan), 1889-	U.S. Dept. of Agriculture,	1972		google	OSU	https://catalog.hathitrust.org/Record/102257456	Full View
Udder diseases of dairy cows	Brown, R. W. (Richard Wallace), 1921- Pounden, W. D. (William Dawson)	U.S. Dept. of Agriculture,	1961		google	OSU	https://catalog.hathitrust.org/Record/102257452	Full View
Stored-grain pests	United States. Agricultural Marketing Service. Stored-Product Insects Section.	U.S. Dept. of Agriculture,	1955		google	OSU	https://catalog.hathitrust.org/Record/102257453	Full View
Onion culture	Beattie, W. R. (William Renwick), 1870-	U.S. Govt. Print. Off.,	1937		google	OSU	https://catalog.hathitrust.org/Record/102257878	Full View
Abstracts of postwar literature.  Congressional series	Library of Congress. Legislative Reference Service. Galloway, Eilene Marie Slack, 1906- ed.	Library of Congress, Legislative Reference Service,	1944		google	OSU	https://catalog.hathitrust.org/Record/102256811	Full View
Guidelines for the clinical evaluation of anti-inflammatory and antirheumatic drugs (adults and children)	United States. Food and Drug Administration. Bureau of Drugs.	U.S. Dept. of Health, Education, and Welfare, Public Health Service, Food and Drug Administration,	1988		google	OSU	https://catalog.hathitrust.org/Record/102255804	Limited View
Helping Southeast Asia to help itself		United Nations Dept. of Public Instruction	1957		google	OSU	https://catalog.hathitrust.org/Record/102256582	Full View
Topographic symbols	United States. Department of the Army.	U. S. Government Printing Office,	1952		google	OSU	https://catalog.hathitrust.org/Record/102256526	Limited View
Maintenance of grounds	United States. Bureau of Yards and Docks.	For sale by the Superintendent of Documents, U. S. Govt. Print. Off.,	1963		google	OSU	https://catalog.hathitrust.org/Record/102256061	Full View
Manual of chemical methods for pesticides and devices	United States. Environmental Protection Agency. Office of Pesticide Programs. Chemical and Biological Investigations Branch.	The Branch,	1976		google	OSU	https://catalog.hathitrust.org/Record/102257321	Full View
Highway-wildlife relationships	Leedy, Daniel L. Urban Wildlife Research Center. United States. Federal Highway Administration. Offices of Research, Development, and Technology.	U.S. Dept. of Transportation, Federal Highway Administration, Offices of Research and Development ; for sale by the National Technical Information Service,	1975		google	OSU	https://catalog.hathitrust.org/Record/102257057	Full View
Bacteriological analytical manual	Center for Food Safety and Applied Nutrition (U.S.)	Association of Official Analytical Chemists,	1984		google	OSU	https://catalog.hathitrust.org/Record/102255790	Full View
Marijuana research findings, 1980	National Institute on Drug Abuse. Division of Research. Petersen, Robert C.	Dept. of Health and Human Services, Public Health Service, Alcohol, Drug Abuse, and Mental Health Administration, National Institute on Drug Abuse, Division of Research ; for sale by the Supt. of Docs., U.S. Govt. Print. Off,	1980		google	OSU	https://catalog.hathitrust.org/Record/102255750	Full View
Atlas of dental and oral pathology	Mann, James Barto, 1894- Goldman, Henry M. (Henry Maurice), 1911-1991. Bernier, Joseph L. (Joseph Leroy), 1909- Ash, James E. (James Earle), 1884-1986. Army Medical Museum (U.S.)		1944		google	OSU	https://catalog.hathitrust.org/Record/102256425	Full View
Community health nursing models	Franklin Research Center. United States. Health Resources Administration. Division of Nursing.	U.S. Dept. of Health, Education, and Welfare, Public Health Service, Health Resources Administration, Bureau of Health Manpower, Division of Nursing,	1979	HE 20.6613:11	google	OSU	https://catalog.hathitrust.org/Record/11324814	Full View
Azimuth determinations by micrometric measurements on a close circumpolar star	Schott, Charles A. (Charles Anthony), 1826-1901 Mosman, A. T. (Alonzo T.)	Gov't print. off.,	1891		google	CHI	https://catalog.hathitrust.org/Record/11592766	Full View
Uniform system of accounts for class I common and contract motor carriers of passengers subject to the provisions of the Motor Carrier Act, 1935	United States. Interstate Commerce Commission.	U.S. G.P.O.,	1948		google	UCBK	https://catalog.hathitrust.org/Record/102203029	Full View
Report of the Federal deposit insurance corporation as of June 30, 1935 to members of the temporary federal deposit insurance funds	Federal Deposit Insurance Corporation.		1935		google	MIU	https://catalog.hathitrust.org/Record/1127156	Limited View
Soil survey of Decatur County, Kansas	Kansas Agricultural Experiment Station. United States. Soil Conservation Service.	The Service,	1989	A 57.38:D 35/2	google	UCR	https://catalog.hathitrust.org/Record/102223985	Full View
Soil survey of Des Moines County, Iowa	Brown, Melvin D. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service,	1983	A 57.38:D 45/2	google	UCR	https://catalog.hathitrust.org/Record/102223979	Full View
Soil survey of Dickinson County, Iowa	Dankert, Wayne N. Iowa Agriculture and Home Economics Experiment Station. Iowa. Department of Soil Conservation. United States. Soil Conservation Service.	The Service,	1983	A 57.38:D 56/2	google	UCR	https://catalog.hathitrust.org/Record/102223980	Full View
Soil survey of Greene County, Iowa	Sherwood, Max A. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service,	1985	A 57.38:G 83/8	google	UCR	https://catalog.hathitrust.org/Record/102223981	Full View
Soil survey of Jackson County, Iowa	LaVan, Mark R. United States. Soil Conservation Service.	Soil Conservation Service,	1992	A 57.38:J 13/13	google	UCR	https://catalog.hathitrust.org/Record/102223982	Full View
Soil survey of Johnson County, Iowa	Schermerhorn, Edward J., 1921- Iowa Agriculture and Home Economics Experiment Station. United States. Soil Conservation Service.	The Service,	1983	A 57.38:J 63/6	google	UCR	https://catalog.hathitrust.org/Record/102223983	Full View
Soil survey of Jones County, Iowa	Minger, Mark J. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service,	1991	A 57.38:J 71/4	google	UCR	https://catalog.hathitrust.org/Record/102223984	Full View
Soil survey of Graham County, Kansas	Kansas Agricultural Experiment Station. United States. Soil Conservation Service.	U.S. Dept. of Agriculture, Soil Conservation Service ; in cooperation with Kansas Agricultural Experiment Station,	1986	A 57.38:G 76/11	google	UCR	https://catalog.hathitrust.org/Record/102223986	Full View
Soil survey, Delaware County, Ohio	Matanzo, Francisco. United States. Soil Conservation Service. Ohio Agricultural Research and Development Center. Ohio. Department of Natural Resources.	For sale by the Supt. of Docs., U.S. Govt. Print. Off.]	1969	A 57.38:D 37	google	UCR	https://catalog.hathitrust.org/Record/102223993	Full View
Energy and water development appropriations for 1998	United States. Congress. House. Committee on Appropriations. Subcommittee on Energy and Water Development.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1997	Y 4.AP 6/1:EN 2/2/998/PT.1-	google	UCBK	https://catalog.hathitrust.org/Record/102223664	Full View
Compilation of selected energy related legislation	United States. Congress. House. Committee on Commerce.	U.S. G.P.O.,	1997	Y4.C73/8:105-C	google	UCR	https://catalog.hathitrust.org/Record/102223667	Full View
Compilation of selected energy related legislation	United States. Congress. House. Committee on Commerce.	U.S. G.P.O.,	1997	Y4.C73/8:105-I	google	UCR	https://catalog.hathitrust.org/Record/102223668	Full View
Department of Defense appropriations for 1996	United States. Congress. House. Committee on Appropriations. Subcommittee on National Security.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1996	Y 4.AP 6/1:D 36/5/996/PT.1-	google	UCR	https://catalog.hathitrust.org/Record/102223655	Full View
District of Columbia appropriations for 1996	United States. Congress. House. Committee on Appropriations. Subcommittee on District of Columbia Appropriations.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1997	Y 4.AP 6/1:D 63/996/PT.1-	google	UCBK	https://catalog.hathitrust.org/Record/102223657	Full View
District of Columbia appropriations for 1998	United States. Congress. House. Committee on Appropriations. Subcommittee on District of Columbia Appropriations.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1998	Y 4.AP 6/1:D 63/998/PT.1 A-	google	UCBK	https://catalog.hathitrust.org/Record/102223663	Full View
Department of the Interior and related agencies appropriations for 1995	United States. Congress. House. Committee on Appropriations. Subcommittee on Department of the Interior and Related Agencies.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1994	Y 4.AP 6/1:IN 8/6/995/PT.-	google	UCR	https://catalog.hathitrust.org/Record/102223648	Full View
Military construction appropriations for 1995	United States. Congress. House. Committee on Appropriations. Subcommittee on Military Construction Appropriations.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1994	Y 4.AP 6/1:M 59/6/995/PT.1-	google	UCR	https://catalog.hathitrust.org/Record/102223651	Full View
Departments of Veterans Affairs and Housing and Urban Development, and independent agencies appropriations for 1994	United States. Congress. House. Committee on Appropriations. Subcommittee on VA, HUD, and Independent Agencies.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	1993	Y 4.AP 6/1:V 64/4/994/PT.1-	google	UCR	https://catalog.hathitrust.org/Record/102223653	Full View
Department of Defense appropriations for 1997	United States. Congress. House. Committee on Appropriations. Subcommittee on National Security.	U.S. G.P.O. : For sale by the U.S. G.P.O., Supt. of Docs., Congressional Sales Office,	2000	Y 4.AP 6/1:D 36/5/997/PT.1-	google	UCBK	https://catalog.hathitrust.org/Record/102223656	Full View
